RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,23882676,Smith,840,France,Female,36,8,55632.06,1,0,0,98692.59,1
2,21241085,Jones,419,Spain,Female,21,9,23820.59,3,0,0,100328.1,0
3,35705918,Brown,620,Germany,Female,59,4,183841.0,1,0,0,26725.66,0
4,71446290,Johnson,424,France,Male,42,7,125001.53,4,1,1,52497.78,1
5,90595402,Williams,406,France,Male,37,6,65544.36,4,0,1,40068.71,0
6,55057460,Miller,405,Spain,Female,68,7,229283.28,3,1,0,42338.78,1
7,66085654,Davis,713,Spain,Female,23,3,61711.99,4,1,1,128042.78,1
8,44080048,Johnson,407,Spain,Male,23,10,173443.56,4,1,0,93426.28,1
9,66115203,Jones,576,France,Female,46,7,189102.83,4,1,0,54388.81,1
10,88862517,Johnson,431,Germany,Female,66,1,175912.92,4,0,1,99703.64,0
11,98592900,Williams,518,France,Female,67,0,183362.05,4,1,1,50321.04,1
12,26907883,Smith,539,France,Female,51,9,60196.97,2,0,0,51683.52,1
13,56885216,Miller,789,France,Male,60,7,170485.2,1,1,0,98918.14,0
14,73538544,Brown,602,Spain,Female,67,6,202199.05,4,0,1,36157.46,0
15,59576738,Johnson,715,Spain,Male,23,3,179589.11,4,0,0,122707.0,0
16,40294790,Williams,803,Germany,Female,44,10,140938.78,3,1,1,110319.2,1
17,21822613,Williams,766,France,Female,24,4,38346.18,2,0,0,124006.82,1
18,25314117,Miller,634,Germany,Male,61,10,30653.28,4,1,0,127884.14,1
19,13780140,Smith,685,Germany,Male,56,2,36084.2,3,0,0,130516.0,1
20,83705667,Johnson,788,Germany,Female,60,10,35371.19,4,0,0,100038.87,1
21,17863771,Brown,542,France,Male,31,5,212696.16,2,0,0,94933.35,1
22,45780357,Miller,515,France,Male,52,8,85119.49,2,0,1,21023.32,1
23,86048505,Jones,692,Spain,Male,27,4,26998.15,4,0,1,65104.25,0
24,69696650,Williams,828,France,Female,23,6,11448.82,2,1,1,140626.34,1
25,21679384,Miller,817,Spain,Female,62,7,38235.05,2,1,1,123859.91,1
26,11399906,Smith,423,Spain,Female,22,7,19148.85,1,1,0,48579.04,1
27,58409406,Brown,834,Germany,Male,42,10,23793.91,1,0,0,96401.78,1
28,97138473,Johnson,526,France,Male,29,7,240885.88,3,0,1,126285.85,0
29,57097449,Williams,814,Spain,Male,67,9,42342.04,2,0,1,99163.09,1
30,48219910,Brown,828,France,Female,44,5,242288.9,2,0,0,147947.16,0
31,18243462,Davis,810,France,Female,66,7,236763.44,2,0,0,59540.82,1
32,32975885,Johnson,738,Spain,Male,60,10,146421.43,1,1,0,109562.28,0
33,44409580,Miller,428,France,Male,39,10,140965.41,2,1,1,144431.71,1
34,74183362,Johnson,570,Spain,Male,41,7,30699.1,3,0,1,94064.31,1
35,82646578,Davis,715,Germany,Male,22,4,202327.19,3,0,0,91365.0,1
36,59874210,Williams,372,France,Female,25,1,24421.16,2,1,0,97499.82,0
37,54889716,Smith,807,Spain,Male,40,7,34683.64,2,1,1,30227.05,0
